TID,PhoneNo,Destination,Cell,Disconnect,StartTime,EndTime,Cell2
101,99241320,90908081,"C","No",2006-10-19 21:37:37,2006-10-19 22:27:42,"B"
102,99250060,91809190,"D","No",2006-12-01 18:56:20,2006-12-01 20:31:10,"A"
103,98240121,,"E","Y",2005-05-16 02:24:03,2005-05-16 02:26:43,"D"
104,98351221,91819170,"B","No",2005-03-25 09:46:52,2005-03-25 12:25:10,"B"
105,99241321,,"F","Y",2005-08-30 19:30:26,2005-08-30 20:43:57,"A"
106,99350361,,"F","Y",2005-12-11 11:51:25,2005-12-11 14:09:32,"D"
107,99340360,,"A","Y",2006-08-28 17:18:57,2006-08-28 17:42:41,"F"
108,99351020,91819070,"D","No",2006-07-05 08:53:17,2006-07-05 09:55:21,"C"
109,98240260,91819070,"C","No",2005-01-29 12:46:12,2005-01-29 14:05:36,"B"
110,99241360,91809090,"D","No",2005-12-26 05:57:22,2005-12-26 07:41:13,"D"
111,98251360,91918080,"B","No",2006-01-04 22:13:47,2006-01-04 22:43:14,"C"
112,99241061,,"C","Y",2005-07-23 01:33:52,2005-07-23 03:19:09,"D"
113,99340120,90817090,"F","No",2006-06-17 19:47:32,2006-06-17 21:13:22,"D"
114,99341220,,"B","Y",2005-12-20 03:23:50,2005-12-20 04:36:19,"E"
115,99250360,,"B","Y",2006-08-24 13:11:05,2006-08-24 14:28:00,"E"
116,98341361,91819170,"D","No",2006-05-29 00:01:28,2006-05-29 01:03:02,"F"
117,99251260,91908090,"D","No",2006-09-25 19:50:30,2006-09-25 22:36:45,"D"
118,99351321,90907071,"D","No",2005-02-03 05:25:46,2005-02-03 06:02:59,"A"
119,98351021,,"C","Y",2006-08-06 22:52:58,2006-08-07 01:03:02,"D"
120,99350361,,"E","Y",2005-08-02 17:48:18,2005-08-02 19:43:16,"E"
121,98251321,90907080,"B","No",2005-02-06 19:39:53,2005-02-06 20:47:21,"E"
122,99250321,,"B","Y",2005-10-30 15:45:00,2005-10-30 18:11:18,"E"
123,98240160,,"D","Y",2006-05-26 07:08:12,2006-05-26 09:04:39,"D"
124,98250061,90907090,"C","No",2005-02-16 05:19:55,2005-02-16 06:15:07,"B"
125,98351020,90917080,"C","No",2005-06-19 17:54:11,2005-06-19 20:14:22,"D"
126,99351260,91817190,"C","No",2006-01-10 09:55:21,2006-01-10 10:16:08,"B"
127,99250361,90919181,"C","No",2006-09-22 02:53:23,2006-09-22 03:35:33,"A"
128,99250320,90909071,"C","No",2005-04-28 07:03:30,2005-04-28 09:24:46,"E"
129,99350260,,"E","Y",2005-05-30 21:33:43,2005-05-31 00:19:43,"B"
130,98351260,,"E","Y",2006-01-10 14:35:52,2006-01-10 14:40:29,"A"
131,99251021,,"B","Y",2006-01-23 18:24:51,2006-01-23 20:30:28,"A"
132,99341021,91909080,"B","No",2005-09-18 05:15:14,2005-09-18 07:40:28,"B"
133,99251021,91918170,"E","No",2006-04-15 15:36:28,2006-04-15 15:42:30,"A"
134,99251221,,"E","Y",2005-02-20 16:12:32,2005-02-20 18:37:58,"A"
135,98250120,90818171,"F","No",2006-08-09 22:47:42,2006-08-10 00:47:41,"F"
136,99240360,91917190,"B","No",2005-06-16 21:42:30,2005-06-16 22:48:12,"F"
137,98240221,91817090,"C","No",2006-12-22 14:51:07,2006-12-22 14:54:18,"E"
138,98350321,,"A","Y",2005-04-09 11:37:11,2005-04-09 12:04:46,"B"
139,98251020,91818081,"F","No",2006-12-26 00:46:32,2006-12-26 03:03:05,"E"
140,98240361,91819070,"D","No",2005-11-10 01:22:09,2005-11-10 01:44:29,"E"
141,98251260,91908181,"E","No",2005-02-13 17:50:31,2005-02-13 18:46:19,"C"
142,98250021,,"B","Y",2006-03-20 20:28:27,2006-03-20 21:26:22,"A"
143,99340120,,"F","Y",2005-06-10 02:23:28,2005-06-10 02:57:49,"D"
144,98351121,,"C","Y",2006-04-05 11:54:10,2006-04-05 12:16:58,"E"
146,99340061,,"C","Y",2005-04-06 09:07:24,2005-04-06 10:57:01,"C"
147,98350261,,"C","Y",2006-05-09 05:42:16,2006-05-09 06:11:08,"E"
148,99250220,91908090,"E","No",2006-04-04 04:15:29,2006-04-04 06:46:59,"C"
149,99251160,,"B","Y",2005-12-30 14:10:37,2005-12-30 14:45:47,"C"
150,99241361,,"F","Y",2006-02-02 22:03:34,2006-02-02 22:49:01,"A"
151,98241060,,"C","Y",2005-07-05 02:14:48,2005-07-05 03:39:25,"F"
152,99350260,,"D","Y",2005-10-25 17:02:30,2005-10-25 19:30:46,"D"
153,98240121,91907091,"E","No",2006-12-16 03:42:40,2006-12-16 06:25:42,"C"
154,98250020,,"A","Y",2005-04-10 22:18:00,2005-04-10 23:22:49,"D"
155,99240060,,"C","Y",2005-12-29 13:39:49,2005-12-29 14:42:03,"E"
157,98351261,91807191,"D","No",2005-03-02 11:52:54,2005-03-02 14:15:16,"A"
158,99240060,,"F","Y",2005-09-04 19:35:05,2005-09-04 21:21:23,"D"
159,99351261,91909170,"D","No",2006-11-23 10:24:43,2006-11-23 12:05:35,"B"
160,98250161,,"C","Y",2005-07-18 18:01:12,2005-07-18 19:27:30,"A"
161,98250061,91808070,"C","No",2006-03-06 20:25:32,2006-03-06 20:42:22,"C"
162,99241161,90817091,"F","No",2005-06-19 16:53:06,2005-06-19 19:37:36,"C"
163,98240161,91919191,"D","No",2005-06-03 10:45:32,2005-06-03 12:00:15,"E"
164,99350260,,"D","Y",2005-08-07 21:47:40,2005-08-07 22:24:36,"F"
165,98241220,,"C","Y",2005-08-26 17:55:02,2005-08-26 20:20:50,"B"
166,98340060,91917090,"C","No",2006-12-04 11:42:24,2006-12-04 11:53:22,"B"
167,98350160,,"C","Y",2006-02-19 21:27:47,2006-02-19 23:33:00,"C"
168,98351120,90807181,"A","No",2005-06-06 06:08:33,2005-06-06 06:33:31,"A"
169,98340021,90808181,"A","No",2005-08-05 14:18:19,2005-08-05 14:41:04,"C"
170,99351060,90818181,"F","No",2006-11-24 16:49:35,2006-11-24 17:27:19,"A"
171,99250360,90809071,"A","No",2006-05-27 02:54:56,2006-05-27 03:15:40,"F"
172,98240321,,"E","Y",2005-05-09 10:38:52,2005-05-09 12:22:20,"F"
173,99340021,,"B","Y",2005-05-28 02:19:14,2005-05-28 05:02:11,"E"
174,98251120,91808090,"D","No",2005-04-01 00:37:10,2005-04-01 02:28:00,"A"
175,98251021,,"B","Y",2005-04-18 17:48:37,2005-04-18 19:35:37,"C"
176,98350120,,"D","Y",2006-10-20 11:07:09,2006-10-20 11:54:34,"A"
177,98240160,90909190,"B","No",2006-01-31 01:47:12,2006-01-31 02:18:25,"C"
178,99351320,,"F","Y",2005-06-25 09:09:51,2005-06-25 11:11:37,"F"
179,99340320,91809070,"B","No",2006-06-21 02:52:30,2006-06-21 03:02:08,"E"
180,99251320,,"D","Y",2005-03-16 08:42:00,2005-03-16 10:40:21,"E"
181,99351360,90919091,"A","No",2006-08-05 20:04:57,2006-08-05 21:28:19,"A"
182,98351260,91919091,"A","No",2006-12-25 16:15:33,2006-12-25 16:49:04,"C"
183,99240360,90817081,"C","No",2006-02-03 03:30:45,2006-02-03 04:53:32,"E"
184,99351120,91808181,"F","No",2005-05-27 00:09:29,2005-05-27 02:30:13,"F"
185,99250020,,"C","Y",2006-09-07 13:42:18,2006-09-07 15:09:09,"A"
186,99351221,91818070,"A","No",2006-10-21 14:19:19,2006-10-21 14:59:59,"D"
187,98241320,,"F","Y",2005-05-16 05:54:18,2005-05-16 06:15:14,"E"
188,99351121,,"C","Y",2006-12-23 15:26:20,2006-12-23 17:22:48,"B"
189,99251061,90918091,"A","No",2005-11-07 02:02:47,2005-11-07 02:05:32,"E"
190,99251020,91819180,"B","No",2005-10-21 21:34:43,2005-10-21 23:48:26,"D"
191,98341221,90807081,"A","No",2005-04-01 15:39:42,2005-04-01 18:15:16,"E"
192,99241160,91807170,"C","No",2005-02-11 21:27:11,2005-02-11 21:50:01,"C"
193,98240221,90917081,"F","No",2006-06-26 01:34:11,2006-06-26 04:18:38,"A"
194,98251260,91808090,"C","No",2005-08-11 10:04:55,2005-08-11 10:44:09,"C"
195,98250221,90917091,"B","No",2006-08-27 22:54:35,2006-08-28 01:31:11,"F"
196,99241120,,"E","Y",2005-02-27 15:36:06,2005-02-27 15:45:46,"D"
197,98350061,,"C","Y",2006-07-07 01:29:00,2006-07-07 04:01:49,"E"
198,98250261,,"D","Y",2005-06-22 14:55:16,2005-06-22 17:01:34,"B"
199,98350121,,"D","Y",2006-10-07 16:06:30,2006-10-07 17:46:07,"B"
200,98351121,90909091,"D","No",2005-09-03 03:02:46,2005-09-03 03:28:55,"F"
201,99341320,91907180,"B","No",2006-12-15 14:35:22,2006-12-15 15:49:06,"D"
202,98350120,,"E","Y",2005-05-10 16:57:01,2005-05-10 19:01:16,"C"
203,98240361,91919081,"C","No",2005-09-11 22:25:58,2005-09-12 00:42:44,"D"
204,98241261,90809090,"C","No",2005-07-01 19:05:17,2005-07-01 19:14:27,"D"
205,98250361,,"C","Y",2006-05-18 02:04:29,2006-05-18 04:39:41,"C"
206,98341121,91808080,"C","No",2006-07-03 07:00:24,2006-07-03 08:50:56,"C"
207,99240121,,"B","Y",2006-08-03 18:04:04,2006-08-03 20:03:24,"D"
208,99251360,90809190,"A","No",2005-04-18 08:27:28,2005-04-18 10:04:42,"E"
209,99241060,91909170,"A","No",2005-01-31 16:21:05,2005-01-31 17:35:44,"C"
210,99341020,90807170,"B","No",2005-06-05 14:21:32,2005-06-05 15:23:43,"D"
211,99340061,,"D","Y",2006-01-09 04:02:12,2006-01-09 04:41:22,"D"
212,98350321,,"F","Y",2005-06-28 09:45:17,2005-06-28 11:30:50,"F"
213,98240361,90808070,"A","No",2006-09-24 12:23:14,2006-09-24 12:58:48,"F"
214,98351060,90919080,"C","No",2006-04-23 05:14:55,2006-04-23 08:01:21,"F"
215,98341220,91919080,"A","No",2005-10-13 21:46:43,2005-10-13 23:09:36,"A"
216,99250321,,"D","Y",2005-03-08 19:17:11,2005-03-08 19:51:05,"B"
217,98240161,,"E","Y",2005-04-06 15:22:47,2005-04-06 16:12:03,"C"
218,99340120,,"F","Y",2006-06-27 17:57:00,2006-06-27 19:57:43,"A"
219,98251220,,"B","Y",2006-07-24 12:25:06,2006-07-24 13:26:41,"C"
220,99251321,,"A","Y",2005-08-23 12:24:50,2005-08-23 14:16:17,"B"
221,99250020,,"E","Y",2005-03-10 21:17:42,2005-03-10 23:39:44,"D"
222,98351261,90919080,"C","No",2005-11-15 20:22:04,2005-11-15 21:51:57,"A"
223,99250161,,"F","Y",2006-05-10 15:36:47,2006-05-10 17:12:51,"F"
224,99350160,,"B","Y",2005-08-02 17:17:40,2005-08-02 17:28:10,"E"
225,99240021,91918070,"F","No",2006-11-08 02:35:46,2006-11-08 02:52:00,"B"
226,99240061,,"C","Y",2006-01-08 14:12:33,2006-01-08 16:41:17,"F"
227,99251321,,"B","Y",2006-08-09 11:05:41,2006-08-09 11:05:42,"D"
228,99251020,,"C","Y",2006-03-26 09:23:24,2006-03-26 10:08:39,"E"
229,99350160,90819091,"A","No",2006-04-13 05:26:10,2006-04-13 08:03:01,"F"
230,99350060,,"D","Y",2005-10-17 11:36:55,2005-10-17 12:12:33,"A"
231,98251161,,"C","Y",2005-08-01 06:50:33,2005-08-01 08:37:10,"E"
232,99240321,91907080,"C","No",2006-10-11 22:10:26,2006-10-11 22:22:03,"E"
233,98251361,90918191,"D","No",2005-01-08 22:48:34,2005-01-09 00:04:23,"A"
234,98251320,90807080,"B","No",2006-05-30 02:25:31,2006-05-30 05:04:35,"C"
235,99341021,90918180,"B","No",2006-01-23 17:21:00,2006-01-23 19:07:57,"A"
236,99250321,,"C","Y",2005-12-25 16:11:51,2005-12-25 17:26:56,"F"
237,98340161,,"E","Y",2006-03-12 20:16:03,2006-03-12 21:06:22,"A"
238,99350161,91809170,"B","No",2005-09-27 09:41:21,2005-09-27 11:31:38,"A"
239,98351061,,"F","Y",2005-05-25 08:23:12,2005-05-25 09:37:11,"D"
240,99351061,90918180,"D","No",2006-04-11 03:23:05,2006-04-11 03:33:38,"C"
241,98240321,91907071,"C","No",2006-08-02 14:19:23,2006-08-02 15:57:53,"C"
242,98350221,,"B","Y",2006-07-16 00:20:33,2006-07-16 00:39:39,"F"
243,98251360,,"F","Y",2005-07-02 16:41:07,2005-07-02 17:27:01,"A"
244,98251220,,"E","Y",2006-10-06 20:02:37,2006-10-06 21:58:35,"A"
245,98241160,91908190,"A","No",2005-10-07 10:39:37,2005-10-07 11:56:55,"C"
246,98241320,,"A","Y",2005-08-08 03:06:40,2005-08-08 04:09:43,"D"
247,99350360,90817090,"D","No",2005-06-21 08:54:33,2005-06-21 09:21:33,"E"
248,99351320,90917080,"C","No",2006-02-03 05:16:01,2006-02-03 06:27:11,"A"
249,99351021,90917181,"A","No",2005-05-12 21:07:27,2005-05-12 23:46:43,"E"
250,98241321,91917091,"F","No",2005-10-27 19:16:34,2005-10-27 20:07:35,"C"
251,98250220,91909180,"D","No",2005-12-09 05:47:33,2005-12-09 07:50:36,"C"
252,98341121,,"F","Y",2005-11-23 04:18:35,2005-11-23 06:37:53,"B"
253,99241120,,"B","Y",2006-02-16 00:23:19,2006-02-16 02:42:57,"C"
254,99340320,,"C","Y",2006-12-23 16:08:08,2006-12-23 17:26:37,"F"
255,98250221,,"C","Y",2005-01-05 02:04:13,2005-01-05 03:17:59,"B"
256,98251221,,"A","Y",2006-05-01 10:43:10,2006-05-01 10:47:37,"F"
257,98251321,91808181,"D","No",2005-12-23 19:07:09,2005-12-23 20:02:12,"C"
258,99341121,,"F","Y",2006-05-01 00:04:32,2006-05-01 01:42:01,"C"
259,98250121,,"C","Y",2005-08-27 13:51:06,2005-08-27 16:34:07,"B"
260,98351021,,"D","Y",2005-01-01 03:19:40,2005-01-01 05:31:32,"F"
261,98250060,91908090,"B","No",2006-01-14 08:54:44,2006-01-14 10:05:24,"B"
262,99351061,,"B","Y",2005-02-23 00:28:47,2005-02-23 01:56:29,"C"
263,98350361,91919091,"C","No",2006-05-29 09:39:34,2006-05-29 10:55:33,"F"
264,98351221,90908071,"C","No",2006-09-06 15:22:05,2006-09-06 17:42:49,"E"
265,99241360,91818181,"E","No",2006-09-04 04:14:11,2006-09-04 04:46:35,"D"
266,98340120,,"D","Y",2006-04-05 21:07:16,2006-04-05 23:02:43,"B"
267,99341260,,"D","Y",2005-05-09 12:17:54,2005-05-09 14:02:13,"D"
268,98350161,,"C","Y",2006-02-20 15:58:51,2006-02-20 16:10:41,"E"
269,98240161,91919180,"F","No",2006-03-31 10:57:01,2006-03-31 12:03:24,"B"
270,98350361,90819190,"C","No",2006-01-28 22:15:34,2006-01-29 00:50:39,"F"
271,98340220,,"D","Y",2006-04-13 19:40:22,2006-04-13 21:34:57,"F"
272,99340121,,"F","Y",2006-05-02 01:36:54,2006-05-02 03:45:49,"E"
273,99251161,90807080,"C","No",2006-07-23 11:09:49,2006-07-23 11:10:06,"A"
274,98341260,91808080,"C","No",2006-10-15 20:09:22,2006-10-15 22:54:34,"E"
275,98250321,91909191,"A","No",2005-12-06 21:36:14,2005-12-06 21:42:50,"E"
276,98250220,,"C","Y",2006-07-01 15:56:05,2006-07-01 16:49:20,"A"
277,99241320,91818091,"A","No",2005-04-12 22:27:51,2005-04-13 00:43:01,"C"
278,99340161,,"D","Y",2006-10-19 05:48:25,2006-10-19 08:29:51,"E"
279,98341361,90808071,"B","No",2006-11-02 19:17:10,2006-11-02 21:58:38,"A"
280,98340260,,"A","Y",2005-08-30 01:26:27,2005-08-30 04:03:11,"E"
281,99351321,,"F","Y",2005-12-08 14:01:11,2005-12-08 15:24:39,"D"
282,98250161,,"D","Y",2006-07-25 09:03:40,2006-07-25 11:47:59,"D"
283,98250320,,"C","Y",2005-03-04 07:29:51,2005-03-04 09:56:09,"F"
284,99240161,,"B","Y",2005-02-02 06:35:08,2005-02-02 06:50:00,"C"
285,98351121,,"E","Y",2005-09-19 12:31:37,2005-09-19 13:31:23,"E"
286,98241160,91919070,"A","No",2005-02-20 17:03:34,2005-02-20 18:28:51,"E"
287,98340021,90808080,"A","No",2005-05-08 01:11:16,2005-05-08 01:12:08,"E"
288,99250221,90818090,"B","No",2005-05-14 18:18:22,2005-05-14 19:45:56,"C"
289,98341261,91807081,"B","No",2006-07-18 03:58:44,2006-07-18 05:29:11,"D"
290,99340120,,"C","Y",2005-10-22 07:26:51,2005-10-22 08:53:36,"B"
291,98351260,91808180,"F","No",2005-12-07 07:25:29,2005-12-07 10:04:21,"F"
292,99340360,90919181,"B","No",2006-11-06 22:57:04,2006-11-07 01:16:40,"B"
293,99341161,91809091,"A","No",2005-11-18 22:22:48,2005-11-19 00:35:38,"C"
294,98341161,91917181,"E","No",2005-05-22 12:44:47,2005-05-22 14:45:06,"E"
295,98240160,,"C","Y",2005-01-03 22:23:41,2005-01-03 23:41:29,"C"
296,99350321,,"E","Y",2005-10-21 21:21:42,2005-10-21 22:24:46,"F"
297,99350021,91919170,"B","No",2005-06-23 21:37:20,2005-06-23 21:38:20,"C"
298,99250321,91917080,"C","No",2006-06-04 07:34:14,2006-06-04 09:13:41,"E"
299,98251321,,"C","Y",2006-05-11 08:50:01,2006-05-11 09:55:05,"B"
300,99240320,,"C","Y",2005-05-29 16:04:22,2005-05-29 16:32:14,"A"
301,98250220,,"E","Y",2005-08-31 21:18:21,2005-08-31 23:07:18,"A"
302,99250261,,"C","Y",2006-03-12 18:31:38,2006-03-12 18:57:51,"F"
303,99240221,90808070,"C","No",2006-03-08 02:41:05,2006-03-08 03:57:06,"D"
304,99240361,90918080,"C","No",2006-07-25 22:04:18,2006-07-25 22:59:30,"F"
305,98250161,,"C","Y",2005-05-01 00:06:02,2005-05-01 01:28:39,"F"
306,98341221,90818081,"A","No",2005-07-11 14:50:08,2005-07-11 15:46:20,"F"
307,99240321,91819181,"C","No",2005-04-29 14:34:44,2005-04-29 15:16:43,"C"
308,98241021,90918090,"D","No",2006-04-17 03:38:39,2006-04-17 03:44:47,"F"
309,98241060,91917190,"A","No",2005-07-31 05:39:31,2005-07-31 06:08:05,"C"
310,99340321,91907080,"F","No",2006-09-28 06:28:40,2006-09-28 08:41:23,"E"
311,98250260,91908181,"E","No",2005-12-29 06:54:17,2005-12-29 08:01:34,"F"
312,99351120,91819181,"D","No",2006-07-24 20:34:37,2006-07-24 21:47:01,"D"
313,99241020,,"F","Y",2006-05-12 15:43:58,2006-05-12 16:36:25,"F"
314,99340261,90908190,"B","No",2005-05-15 21:54:50,2005-05-15 22:03:22,"E"
315,99351020,,"C","Y",2006-11-27 05:21:04,2006-11-27 06:37:10,"B"
316,99341121,,"F","Y",2006-09-11 14:12:56,2006-09-11 15:36:21,"C"
317,99241221,,"C","Y",2005-08-30 06:40:04,2005-08-30 09:08:16,"E"
318,98340221,,"B","Y",2006-04-10 21:09:37,2006-04-10 21:15:52,"A"
319,98240361,91917191,"E","No",2005-04-23 01:26:57,2005-04-23 02:29:34,"A"
320,99241161,91819170,"A","No",2006-11-24 15:53:57,2006-11-24 17:37:42,"F"
321,99251320,90808090,"B","No",2006-10-07 20:40:58,2006-10-07 23:07:52,"F"
322,99351320,,"F","Y",2006-02-17 13:24:16,2006-02-17 15:07:23,"F"
